Date;Country;Period;Local marginal capacity price (euro/MW)
2020-07-11;Frankreich;NEGPOS_20_24;20.6
2020-07-12;Frankreich;NEGPOS_00_04;26.13
2020-07-12;Frankreich;NEGPOS_04_08;26.16
2020-07-12;Frankreich;NEGPOS_08_12;25.88
2020-07-12;Frankreich;NEGPOS_12_16;25.32
2020-07-12;Frankreich;NEGPOS_16_20;27.44
2020-07-12;Frankreich;NEGPOS_20_24;18.82
2020-07-13;Frankreich;NEGPOS_00_04;23.13
2020-07-13;Frankreich;NEGPOS_04_08;24.76
2020-07-13;Frankreich;NEGPOS_08_12;14.9
2020-07-13;Frankreich;NEGPOS_12_16;14.64
2020-07-13;Frankreich;NEGPOS_16_20;19.2
2020-07-13;Frankreich;NEGPOS_20_24;12.32
2020-07-14;Frankreich;NEGPOS_00_04;17.04
2020-07-14;Frankreich;NEGPOS_04_08;15
2020-07-14;Frankreich;NEGPOS_08_12;12.4
2020-07-14;Frankreich;NEGPOS_12_16;11
2020-07-14;Frankreich;NEGPOS_16_20;14.72
2020-07-14;Frankreich;NEGPOS_20_24;12.8
2020-07-15;Frankreich;NEGPOS_00_04;20.96
2020-07-15;Frankreich;NEGPOS_04_08;16.04
2020-07-15;Frankreich;NEGPOS_08_12;13
2020-07-15;Frankreich;NEGPOS_12_16;11
2020-07-15;Frankreich;NEGPOS_16_20;15
2020-07-15;Frankreich;NEGPOS_20_24;15
2020-07-16;Frankreich;NEGPOS_00_04;20.17
2020-07-16;Frankreich;NEGPOS_04_08;19.47
2020-07-16;Frankreich;NEGPOS_08_12;12.8
2020-07-16;Frankreich;NEGPOS_12_16;12.25
2020-07-16;Frankreich;NEGPOS_16_20;15.24
2020-07-16;Frankreich;NEGPOS_20_24;15.84
2020-07-17;Frankreich;NEGPOS_00_04;22.16
2020-07-17;Frankreich;NEGPOS_04_08;21.43
2020-07-17;Frankreich;NEGPOS_08_12;16.5
2020-07-17;Frankreich;NEGPOS_12_16;14
2020-07-17;Frankreich;NEGPOS_16_20;18.44
2020-07-17;Frankreich;NEGPOS_20_24;13.16
2020-07-18;Frankreich;NEGPOS_00_04;18.36
2020-07-18;Frankreich;NEGPOS_04_08;23.44
2020-07-18;Frankreich;NEGPOS_08_12;29.04
2020-07-18;Frankreich;NEGPOS_12_16;28.24
2020-07-18;Frankreich;NEGPOS_16_20;27.92
2020-07-18;Frankreich;NEGPOS_20_24;25
2020-07-19;Frankreich;NEGPOS_00_04;28.22
2020-07-19;Frankreich;NEGPOS_04_08;27.92
2020-07-19;Frankreich;NEGPOS_08_12;25.77
2020-07-19;Frankreich;NEGPOS_12_16;29.2
2020-07-19;Frankreich;NEGPOS_16_20;25.12
2020-07-19;Frankreich;NEGPOS_20_24;20.16
2020-07-20;Frankreich;NEGPOS_00_04;21
2020-07-20;Frankreich;NEGPOS_04_08;27.32
2020-07-20;Frankreich;NEGPOS_08_12;24.04
2020-07-20;Frankreich;NEGPOS_12_16;35.47
2020-07-20;Frankreich;NEGPOS_16_20;26.7
2020-07-20;Frankreich;NEGPOS_20_24;25
2020-07-21;Frankreich;NEGPOS_00_04;32.67
2020-07-21;Frankreich;NEGPOS_04_08;29
2020-07-21;Frankreich;NEGPOS_08_12;20.96
2020-07-21;Frankreich;NEGPOS_12_16;28.81
2020-07-21;Frankreich;NEGPOS_16_20;23.6
2020-07-21;Frankreich;NEGPOS_20_24;17.64
2020-07-22;Frankreich;NEGPOS_00_04;37.41
2020-07-22;Frankreich;NEGPOS_04_08;35
2020-07-22;Frankreich;NEGPOS_08_12;18
2020-07-22;Frankreich;NEGPOS_12_16;25
2020-07-22;Frankreich;NEGPOS_16_20;17.76
2020-07-22;Frankreich;NEGPOS_20_24;15.22
2020-07-23;Frankreich;NEGPOS_00_04;24.96
2020-07-23;Frankreich;NEGPOS_04_08;25
2020-07-23;Frankreich;NEGPOS_08_12;19.2
2020-07-23;Frankreich;NEGPOS_12_16;31.11
2020-07-23;Frankreich;NEGPOS_16_20;20.13
2020-07-23;Frankreich;NEGPOS_20_24;18.08
2020-07-24;Frankreich;NEGPOS_00_04;23.2
2020-07-24;Frankreich;NEGPOS_04_08;23.52
2020-07-24;Frankreich;NEGPOS_08_12;17.07
2020-07-24;Frankreich;NEGPOS_12_16;30.11
2020-07-24;Frankreich;NEGPOS_16_20;22
2020-07-24;Frankreich;NEGPOS_20_24;15
2020-07-25;Frankreich;NEGPOS_00_04;38.43
2020-07-25;Frankreich;NEGPOS_04_08;27.68
2020-07-25;Frankreich;NEGPOS_08_12;51.36
2020-07-25;Frankreich;NEGPOS_12_16;46.84
2020-07-25;Frankreich;NEGPOS_16_20;48.92
2020-07-25;Frankreich;NEGPOS_20_24;27.56
2020-07-26;Frankreich;NEGPOS_00_04;31.72
2020-07-26;Frankreich;NEGPOS_04_08;32.12
2020-07-26;Frankreich;NEGPOS_08_12;25.44
2020-07-26;Frankreich;NEGPOS_12_16;28.88
2020-07-26;Frankreich;NEGPOS_16_20;29.8
2020-07-26;Frankreich;NEGPOS_20_24;14.6
2020-07-27;Frankreich;NEGPOS_00_04;27.27
2020-07-27;Frankreich;NEGPOS_04_08;25.48
2020-07-27;Frankreich;NEGPOS_08_12;25
2020-07-27;Frankreich;NEGPOS_12_16;25
2020-07-27;Frankreich;NEGPOS_16_20;31
2020-07-27;Frankreich;NEGPOS_20_24;25.52
2020-07-28;Frankreich;NEGPOS_00_04;22.38
2020-07-28;Frankreich;NEGPOS_04_08;27.4
2020-07-28;Frankreich;NEGPOS_08_12;30.36
2020-07-28;Frankreich;NEGPOS_12_16;38.76
2020-07-28;Frankreich;NEGPOS_16_20;27.52
2020-07-28;Frankreich;NEGPOS_20_24;23.2
2020-07-29;Frankreich;NEGPOS_00_04;36
2020-07-29;Frankreich;NEGPOS_04_08;27.1
2020-07-29;Frankreich;NEGPOS_08_12;33.1
2020-07-29;Frankreich;NEGPOS_12_16;38
2020-07-29;Frankreich;NEGPOS_16_20;32.7
2020-07-29;Frankreich;NEGPOS_20_24;18.2
2020-07-30;Frankreich;NEGPOS_00_04;30.57
2020-07-30;Frankreich;NEGPOS_04_08;21.75
2020-07-30;Frankreich;NEGPOS_08_12;23.12
2020-07-30;Frankreich;NEGPOS_12_16;20.8
2020-07-30;Frankreich;NEGPOS_16_20;23.73
2020-07-30;Frankreich;NEGPOS_20_24;15
2020-07-31;Frankreich;NEGPOS_00_04;16.44
2020-07-31;Frankreich;NEGPOS_04_08;17.12
2020-07-31;Frankreich;NEGPOS_08_12;14.96
2020-07-31;Frankreich;NEGPOS_12_16;15.92
2020-07-31;Frankreich;NEGPOS_16_20;23.16
2020-07-31;Frankreich;NEGPOS_20_24;19.47
2020-08-01;Frankreich;NEGPOS_00_04;17.82
2020-08-01;Frankreich;NEGPOS_04_08;21.4
2020-08-01;Frankreich;NEGPOS_08_12;21.52
2020-08-01;Frankreich;NEGPOS_12_16;22.06
2020-08-01;Frankreich;NEGPOS_16_20;24.53
2020-08-01;Frankreich;NEGPOS_20_24;14.81
2020-08-02;Frankreich;NEGPOS_00_04;28.2
2020-08-02;Frankreich;NEGPOS_04_08;28.68
2020-08-02;Frankreich;NEGPOS_08_12;25.32
2020-08-02;Frankreich;NEGPOS_12_16;33.39
2020-08-02;Frankreich;NEGPOS_16_20;24.7
2020-08-02;Frankreich;NEGPOS_20_24;13
2020-08-03;Frankreich;NEGPOS_00_04;19.52
2020-08-03;Frankreich;NEGPOS_04_08;23.09
2020-08-03;Frankreich;NEGPOS_08_12;14.28
2020-08-03;Frankreich;NEGPOS_12_16;20.04
2020-08-03;Frankreich;NEGPOS_16_20;19.28
2020-08-03;Frankreich;NEGPOS_20_24;18.3
2020-08-04;Frankreich;NEGPOS_00_04;23
2020-08-04;Frankreich;NEGPOS_04_08;24.64
2020-08-04;Frankreich;NEGPOS_08_12;19.17
2020-08-04;Frankreich;NEGPOS_12_16;20
2020-08-04;Frankreich;NEGPOS_16_20;22.78
2020-08-04;Frankreich;NEGPOS_20_24;18.4
2020-08-05;Frankreich;NEGPOS_00_04;24.24
2020-08-05;Frankreich;NEGPOS_04_08;34
2020-08-05;Frankreich;NEGPOS_08_12;32.66
2020-08-05;Frankreich;NEGPOS_12_16;41
2020-08-05;Frankreich;NEGPOS_16_20;36.56
2020-08-05;Frankreich;NEGPOS_20_24;30
2020-08-06;Frankreich;NEGPOS_00_04;25
2020-08-06;Frankreich;NEGPOS_04_08;28.08
2020-08-06;Frankreich;NEGPOS_08_12;27.92
2020-08-06;Frankreich;NEGPOS_12_16;28.52
2020-08-06;Frankreich;NEGPOS_16_20;26.59
2020-08-06;Frankreich;NEGPOS_20_24;21.72
2020-08-07;Frankreich;NEGPOS_00_04;25
2020-08-07;Frankreich;NEGPOS_04_08;30.54
2020-08-07;Frankreich;NEGPOS_08_12;30
2020-08-07;Frankreich;NEGPOS_12_16;27
2020-08-07;Frankreich;NEGPOS_16_20;32.4
2020-08-07;Frankreich;NEGPOS_20_24;25.96
2020-08-08;Frankreich;NEGPOS_00_04;24.36
2020-08-08;Frankreich;NEGPOS_04_08;24.88
2020-08-08;Frankreich;NEGPOS_08_12;23.16
2020-08-08;Frankreich;NEGPOS_12_16;28.21
2020-08-08;Frankreich;NEGPOS_16_20;22.5
2020-08-08;Frankreich;NEGPOS_20_24;24.21
2020-08-09;Frankreich;NEGPOS_00_04;25.22
2020-08-09;Frankreich;NEGPOS_04_08;25.4
2020-08-09;Frankreich;NEGPOS_08_12;26.2
2020-08-09;Frankreich;NEGPOS_12_16;27.28
2020-08-09;Frankreich;NEGPOS_16_20;33.33
2020-08-09;Frankreich;NEGPOS_20_24;22
2020-08-10;Frankreich;NEGPOS_00_04;29.68
2020-08-10;Frankreich;NEGPOS_04_08;29.76
2020-08-10;Frankreich;NEGPOS_08_12;21
2020-08-10;Frankreich;NEGPOS_12_16;29
2020-08-10;Frankreich;NEGPOS_16_20;25.52
2020-08-10;Frankreich;NEGPOS_20_24;24.2
2020-08-11;Frankreich;NEGPOS_00_04;26
2020-08-11;Frankreich;NEGPOS_04_08;29.4
2020-08-11;Frankreich;NEGPOS_08_12;27.3
2020-08-11;Frankreich;NEGPOS_12_16;25.96
2020-08-11;Frankreich;NEGPOS_16_20;30.1
2020-08-11;Frankreich;NEGPOS_20_24;27.97
2020-08-12;Frankreich;NEGPOS_00_04;28.4
2020-08-12;Frankreich;NEGPOS_04_08;24.2
2020-08-12;Frankreich;NEGPOS_08_12;26.84
2020-08-12;Frankreich;NEGPOS_12_16;24
2020-08-12;Frankreich;NEGPOS_16_20;26.32
2020-08-12;Frankreich;NEGPOS_20_24;26.37
2020-08-13;Frankreich;NEGPOS_00_04;27
2020-08-13;Frankreich;NEGPOS_04_08;22.46
2020-08-13;Frankreich;NEGPOS_08_12;26
2020-08-13;Frankreich;NEGPOS_12_16;23.03
2020-08-13;Frankreich;NEGPOS_16_20;28.64
2020-08-13;Frankreich;NEGPOS_20_24;25
2020-08-14;Frankreich;NEGPOS_00_04;23.04
2020-08-14;Frankreich;NEGPOS_04_08;24.3
2020-08-14;Frankreich;NEGPOS_08_12;22.08
2020-08-14;Frankreich;NEGPOS_12_16;19.92
2020-08-14;Frankreich;NEGPOS_16_20;22.64
2020-08-14;Frankreich;NEGPOS_20_24;20.64
2020-08-15;Frankreich;NEGPOS_00_04;21.5
2020-08-15;Frankreich;NEGPOS_04_08;23
2020-08-15;Frankreich;NEGPOS_08_12;21
2020-08-15;Frankreich;NEGPOS_12_16;21
2020-08-15;Frankreich;NEGPOS_16_20;24.29
2020-08-15;Frankreich;NEGPOS_20_24;23.28
2020-08-16;Frankreich;NEGPOS_00_04;23
